round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
1, 200, 0, 2.05, 0, 0, 0, 0
2, 200, 0, 2.05, 0, 0, 0, 0
3, 200, 0, 3.975, 3, 5, 0, 1513
4, 200, 0, 4.745, 5, 5, 0, 1914
5, 200, 0, 4.92, 5, 5, 0, 1991
6, 200, 0, 4.97, 5, 5, 2, 1998
7, 200, 0, 4.995, 5, 5, 3, 1979
8, 200, 0, 5.0, 5, 5, 5, 2000
9, 200, 0, 5.0, 5, 5, 8, 2000
10, 200, 0, 5.0, 5, 5, 21, 2000
11, 200, 0, 5.0, 5, 5, 34, 2000
12, 200, 0, 5.0, 5, 5, 45, 2010
13, 200, 0, 5.0, 5, 5, 55, 2000
14, 200, 0, 5.0, 5, 5, 61, 1990
15, 200, 0, 5.0, 5, 5, 70, 2000
16, 200, 0, 5.0, 5, 5, 75, 2020
17, 200, 0, 5.0, 5, 5, 78, 2000
18, 200, 0, 5.0, 5, 5, 83, 1980
19, 200, 0, 5.0, 5, 5, 87, 2010
20, 200, 0, 5.0, 5, 5, 88, 1990
21, 200, 0, 5.0, 5, 5, 89, 2000
22, 200, 0, 5.0, 5, 5, 91, 2010
23, 200, 0, 5.0, 5, 5, 91, 2000
24, 200, 0, 5.0, 5, 5, 91, 1990
25, 200, 0, 5.0, 5, 5, 92, 2020
26, 200, 0, 5.0, 5, 5, 91, 1980
27, 200, 0, 5.0, 5, 5, 94, 2000
28, 200, 0, 5.0, 5, 5, 94, 2000
29, 200, 0, 5.0, 5, 5, 94, 2000
30, 200, 0, 5.0, 5, 5, 94, 2010
31, 200, 0, 5.0, 5, 5, 94, 2010
32, 200, 0, 5.0, 5, 5, 94, 1980
33, 200, 0, 5.0, 5, 5, 95, 2000
34, 200, 0, 5.0, 5, 5, 95, 2000
35, 200, 0, 5.0, 5, 5, 95, 2000
36, 200, 0, 5.0, 5, 5, 95, 2020
37, 200, 0, 5.0, 5, 5, 95, 1980
38, 200, 0, 5.0, 5, 5, 97, 2000
39, 200, 0, 5.0, 5, 5, 98, 2010
40, 200, 0, 5.0, 5, 5, 97, 2000
41, 200, 0, 5.0, 5, 5, 97, 1990
42, 200, 0, 5.0, 5, 5, 98, 2000
43, 200, 0, 5.0, 5, 5, 98, 2000
44, 200, 0, 5.0, 5, 5, 98, 2000
45, 200, 0, 5.0, 5, 5, 98, 2020
46, 200, 0, 5.0, 5, 5, 97, 1980
47, 200, 0, 5.0, 5, 5, 98, 2010
48, 200, 0, 5.0, 5, 5, 97, 1990
49, 200, 0, 5.0, 5, 5, 98, 2020
50, 200, 0, 5.0, 5, 5, 97, 1980
51, 200, 0, 5.0, 5, 5, 98, 2000
52, 200, 0, 5.0, 5, 5, 98, 2000
53, 200, 0, 5.0, 5, 5, 98, 2010
54, 200, 0, 5.0, 5, 5, 97, 1990
55, 200, 0, 5.0, 5, 5, 98, 2000
56, 200, 0, 5.0, 5, 5, 98, 2000
57, 200, 0, 5.0, 5, 5, 98, 2020
58, 200, 0, 5.0, 5, 5, 97, 1980
59, 200, 0, 5.0, 5, 5, 98, 2000
60, 200, 0, 5.0, 5, 5, 98, 2000
61, 200, 0, 5.0, 5, 5, 98, 2010
62, 200, 0, 5.0, 5, 5, 97, 1990
63, 200, 0, 5.0, 5, 5, 98, 2010
64, 200, 0, 5.0, 5, 5, 97, 2000
65, 200, 0, 5.0, 5, 5, 97, 1990
66, 200, 0, 5.0, 5, 5, 98, 2000
67, 200, 0, 5.0, 5, 5, 98, 2020
68, 200, 0, 5.0, 5, 5, 97, 1980
69, 200, 0, 5.0, 5, 5, 98, 2000
70, 200, 0, 5.0, 5, 5, 98, 2000
71, 200, 0, 5.0, 5, 5, 98, 2000
72, 200, 0, 5.0, 5, 5, 98, 2000
73, 200, 0, 5.0, 5, 5, 98, 2000
74, 200, 0, 5.0, 5, 5, 98, 2000
75, 200, 0, 5.0, 5, 5, 98, 2010
76, 200, 0, 5.0, 5, 5, 97, 2000
77, 200, 0, 5.0, 5, 5, 97, 1990
78, 200, 0, 5.0, 5, 5, 98, 2000
79, 200, 0, 5.0, 5, 5, 98, 2000
80, 200, 0, 5.0, 5, 5, 98, 2020
81, 200, 0, 5.0, 5, 5, 97, 1980
82, 200, 0, 5.0, 5, 5, 98, 2000
83, 200, 0, 5.0, 5, 5, 98, 2000
84, 200, 0, 5.0, 5, 5, 98, 2000
85, 200, 0, 5.0, 5, 5, 98, 2010
86, 200, 0, 5.0, 5, 5, 97, 2010
87, 200, 0, 5.0, 5, 5, 97, 1980
88, 200, 0, 5.0, 5, 5, 98, 2000
89, 200, 0, 5.0, 5, 5, 98, 2000
90, 200, 0, 5.0, 5, 5, 98, 2000
91, 200, 0, 5.0, 5, 5, 98, 2000
92, 200, 0, 5.0, 5, 5, 98, 2000
93, 200, 0, 5.0, 5, 5, 98, 2000
94, 200, 0, 5.0, 5, 5, 98, 2020
95, 200, 0, 5.0, 5, 5, 97, 1980
96, 200, 0, 5.0, 5, 5, 98, 2010
97, 200, 0, 5.0, 5, 5, 97, 1990
98, 200, 0, 5.0, 5, 5, 98, 2000
99, 200, 0, 5.0, 5, 5, 98, 2000
100, 200, 0, 5.0, 5, 5, 98, 2020
101, 200, 0, 5.0, 5, 5, 97, 1980
102, 200, 0, 5.0, 5, 5, 98, 2000
103, 200, 0, 5.0, 5, 5, 98, 2010
104, 200, 0, 5.0, 5, 5, 97, 1990
105, 200, 0, 5.0, 5, 5, 98, 2000
106, 200, 0, 5.0, 5, 5, 98, 2000
107, 200, 0, 5.0, 5, 5, 98, 2010
108, 200, 0, 5.0, 5, 5, 97, 1990
109, 200, 0, 5.0, 5, 5, 98, 2000
110, 200, 0, 5.0, 5, 5, 98, 2030
111, 200, 0, 5.0, 5, 5, 96, 1970
112, 200, 0, 5.0, 5, 5, 98, 2000
113, 200, 0, 5.0, 5, 5, 98, 2020
114, 200, 0, 5.0, 5, 5, 97, 1990
115, 200, 0, 5.0, 5, 5, 97, 2000
116, 200, 0, 5.0, 5, 5, 97, 2000
117, 200, 0, 5.0, 5, 5, 97, 1990
118, 200, 0, 5.0, 5, 5, 98, 2000
119, 200, 0, 5.0, 5, 5, 98, 2000
120, 200, 0, 5.0, 5, 5, 98, 2000
121, 200, 0, 5.0, 5, 5, 98, 2000
122, 200, 0, 5.0, 5, 5, 98, 2000
123, 200, 0, 5.0, 5, 5, 98, 2000
124, 200, 0, 5.0, 5, 5, 98, 2010
